file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Base\src\main\java\org\nesc\ec\bigdata\common\model\PartitionAssignmentState.java,org.nesc.ec.bigdata.common.model.PartitionAssignmentState,class,1,8,7,1,30,1,0,3,146,0.86666673,0.0,0.0,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,102,18,0,10,0,4,0,4,15,6,12,2,0,0,0,36,1,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\controller\TeamController.java,org.nesc.ec.bigdata.controller.TeamController,class,21,22,1,21,40,2,0,45,0,0.5818182,0.0,0.0,11,0,10,1,0,0,10,0,0,0,5,1,0,1,0,4,0,0,2,179,33,0,2,10,0,51,1,17,3,18,3,0,0,0,88,1,9
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\security\auth\HttpRequestDecorators.java,org.nesc.ec.bigdata.security.auth.HttpRequestDecorators,class,3,4,1,3,3,2,0,3,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,2,1,0,0,0,12,1,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\controller\RemoteController.java,org.nesc.ec.bigdata.controller.RemoteController,class,13,13,0,13,14,2,0,11,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,105,7,0,0,0,0,20,0,31,21,48,2,0,0,7,61,1,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\constant\Constants.java,org.nesc.ec.bigdata.constant.Constants$EleaticSearch,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,11,0,0,0,0,0,9,0,9,0,9,0,0,0,0,26,9,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\service\ConsumerLagApiService.java,org.nesc.ec.bigdata.service.ConsumerLagApiService,class,11,14,3,11,13,1,0,29,4,0.625,0.0,0.0,4,0,2,1,0,1,3,0,0,0,2,0,0,0,0,2,0,0,8,47,4,0,0,1,0,4,0,14,0,17,1,0,0,2,44,1,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\service\KsqlClusterService.java,org.nesc.ec.bigdata.service.KsqlClusterService,class,14,17,3,14,53,1,0,81,69,0.8541666,0.0,0.0,18,0,13,5,0,0,13,0,0,0,8,1,0,3,0,5,1,0,4,251,18,3,11,9,3,39,10,57,6,42,5,0,0,1,99,1,8
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\constant\Constants.java,org.nesc.ec.bigdata.constant.Constants$JsonObject,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,9,0,0,11,0,0,0,0,0,9,0,9,0,9,0,0,0,0,27,9,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Core\src\main\java\org\nesc\ec\bigdata\cache\HomeCache.java,org.nesc.ec.bigdata.cache.HomeCache,class,2,4,2,2,1,1,0,0,0,0.5,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,138,1,0,0,0,0,0,0,2,0,2,0,0,2,0,17,1,0
C:\Users\rochi\Downloads\sneel\KCenter\KCenter-Base\src\main\java\org\nesc\ec\bigdata\common\util\JmxCollector.java,org.nesc.ec.bigdata.common.util.JmxCollector,class,5,10,5,5,44,1,0,82,62,0.8125,0.0,0.0,16,2,5,11,0,0,5,0,0,0,4,4,1,3,0,0,2,0,10,204,21,4,6,7,0,28,18,42,17,44,3,0,1,7,109,1,8
