file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\LuckPerms\fabric\src\main\java\me\lucko\luckperms\fabric\mixin\ServerCommandSourceAccessor.java,me.lucko.luckperms.fabric.mixin.ServerCommandSourceAccessor,interface,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\api\src\main\java\net\luckperms\api\query\QueryOptions.java,net.luckperms.api.query.QueryOptions,interface,15,54,39,15,15,1,0,11,105,0.0,0.0,0.0,15,6,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,6,39,7,0,0,0,0,0,0,0,0,0,0,0,1,0,76,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\commands\generic\parent\ParentInfo.java,me.lucko.luckperms.common.commands.generic.parent.ParentInfo,class,10,11,1,10,11,2,0,23,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,50,4,1,2,0,0,1,10,10,1,11,2,0,0,2,44,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\api\src\main\java\net\luckperms\api\event\track\mutate\TrackClearEvent.java,net.luckperms.api.event.track.mutate.TrackClearEvent,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\sponge\src\main\java\me\lucko\luckperms\sponge\service\model\SimplePermissionDescription.java,me.lucko.luckperms.sponge.service.model.SimplePermissionDescription,class,12,14,2,12,14,1,0,8,0,0.6727273,0.0,0.0,11,0,11,0,0,0,11,0,0,1,5,0,0,5,0,0,4,0,4,51,12,0,2,0,1,10,0,9,2,8,1,0,0,0,37,17,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\cache\LoadingMap.java,me.lucko.luckperms.common.cache.LoadingMap,class,4,11,7,4,7,2,0,3,0,0.33333334,0.0,0.0,6,2,4,1,1,0,5,0,0,0,2,0,0,2,0,0,2,0,1,27,6,0,1,0,0,0,0,3,0,3,1,0,0,0,15,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\fabric\src\main\java\me\lucko\luckperms\fabric\listeners\FabricOtherListeners.java,me.lucko.luckperms.fabric.listeners.FabricOtherListeners,class,6,7,1,6,6,1,0,10,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,23,4,0,0,0,0,1,0,2,0,2,1,0,0,0,31,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\webeditor\store\WebEditorStore.java,me.lucko.luckperms.common.webeditor.store.WebEditorStore,class,7,14,7,7,6,1,0,12,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,0,31,4,0,0,0,0,2,0,7,0,6,1,0,0,2,30,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\cache\BufferedRequest.java,me.lucko.luckperms.common.cache.BufferedRequest$Processor,innerclass,5,5,0,5,8,1,0,5,4,0.68888885,0.0,0.0,5,0,0,2,0,3,3,0,0,0,9,0,0,9,0,0,6,0,0,66,2,0,1,1,0,0,1,10,0,9,2,0,1,0,31,26,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\commands\misc\ExportCommand.java,me.lucko.luckperms.common.commands.misc.ExportCommand,class,11,11,0,11,12,2,0,29,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,7,71,8,0,0,2,0,9,1,10,2,8,2,0,0,1,50,1,1
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\metastacking\SimpleMetaStackDefinition.java,me.lucko.luckperms.common.metastacking.SimpleMetaStackDefinition,class,5,7,2,5,13,1,0,8,0,0.59090906,0.0,0.0,11,0,10,1,0,0,10,0,0,0,6,0,0,6,0,0,6,0,6,49,12,0,1,0,1,16,0,7,2,7,1,0,0,0,30,17,0
C:\Users\rochi\Downloads\sneel\LuckPerms\velocity\src\main\java\me\lucko\luckperms\velocity\LPVelocityPlugin.java,me.lucko.luckperms.velocity.LPVelocityPlugin,class,28,40,12,28,26,2,0,22,234,0.88,0.0,0.0,25,0,12,0,13,0,25,0,0,0,8,0,0,8,0,0,1,0,2,97,16,0,0,0,0,1,0,11,0,13,1,0,0,2,70,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\storage\implementation\file\watcher\FileWatcher.java,me.lucko.luckperms.common.storage.implementation.file.watcher.FileWatcher$WatchedLocation,innerclass,2,2,0,2,5,1,0,6,0,0.5,0.0,0.0,4,0,2,0,0,2,4,0,0,0,3,0,0,3,0,0,3,0,1,22,1,0,0,0,0,0,1,5,0,6,1,0,0,1,44,25,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\context\AbstractContextSet.java,me.lucko.luckperms.common.context.AbstractContextSet,class,4,8,4,4,12,1,2,9,10,0.0,0.0,0.0,5,3,2,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,4,37,8,0,2,0,1,7,0,0,0,0,1,0,0,0,27,1025,0
C:\Users\rochi\Downloads\sneel\LuckPerms\velocity\src\main\java\me\lucko\luckperms\velocity\LPVelocityBootstrap.java,me.lucko.luckperms.velocity.LPVelocityBootstrap,class,18,27,9,18,25,1,0,19,157,0.87878793,0.0,0.0,22,0,22,0,0,0,22,0,0,0,9,0,0,9,0,0,6,0,3,103,19,2,1,2,0,7,2,12,0,14,1,0,0,0,79,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\api\src\main\java\net\luckperms\api\query\dataorder\DataQueryOrder.java,net.luckperms.api.query.dataorder.DataQueryOrder$Anonymous1,anonymous,1,1,0,1,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,3,0,0,0,1,0,0,0,5,-1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\util\Paginated.java,me.lucko.luckperms.common.util.Paginated,class,2,8,6,2,8,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,53,3,1,0,0,1,6,4,5,8,5,1,0,1,0,38,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\commands\track\TrackInsert.java,me.lucko.luckperms.common.commands.track.TrackInsert,class,12,13,1,12,10,2,0,31,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,48,5,0,1,2,0,2,7,4,1,4,3,0,0,0,36,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\api\src\main\java\net\luckperms\api\messenger\message\type\UpdateMessage.java,net.luckperms.api.messenger.message.type.UpdateMessage,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\fabric\src\main\java\me\lucko\luckperms\fabric\model\MixinUser.java,me.lucko.luckperms.fabric.model.MixinUser,interface,6,10,4,6,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\common\src\main\java\me\lucko\luckperms\common\webeditor\socket\WebEditorSocket.java,me.lucko.luckperms.common.webeditor.socket.WebEditorSocket,class,21,31,10,21,29,1,0,44,71,0.8157895,0.0,0.0,19,0,15,4,0,0,15,0,0,0,10,1,0,10,0,0,6,0,5,123,11,0,4,2,0,12,5,21,1,18,1,0,0,0,160,1,0
C:\Users\rochi\Downloads\sneel\LuckPerms\api\src\main\java\net\luckperms\api\event\node\NodeAddEvent.java,net.luckperms.api.event.node.NodeAddEvent,interface,6,7,1,6,2,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,1,0,1,0,0,0,0,20,1,0
