file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\polyline\PolylineWidthControlFragment.java,com.example.mapdemo.polyline.PolylineWidthControlFragment,class,8,9,1,8,7,3,0,9,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,0,36,3,0,2,0,0,3,2,5,2,5,1,0,0,0,48,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app-utils\src\main\java\com\example\app_utils\Multilayer.java,com.example.app_utils.Multilayer$MyItem,innerclass,3,3,0,3,5,1,0,0,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,22,4,0,0,0,0,0,1,3,0,3,0,0,0,0,16,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\CameraDemoActivity.java,com.example.mapdemo.CameraDemoActivity,class,18,20,2,18,48,2,0,46,166,0.84800005,0.0,0.0,25,0,18,5,2,0,20,0,0,0,10,4,2,8,0,0,4,0,1,205,13,0,4,0,2,9,26,31,3,22,2,1,0,0,167,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\PolygonDemoActivity.java,PolygonDemoActivity,class,20,21,1,20,29,1,0,46,44,0.8623189,0.0,0.0,12,0,7,4,1,0,8,0,0,0,23,14,0,23,0,0,14,0,0,151,12,1,7,0,1,0,32,31,13,30,1,1,0,0,131,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\LiteListDemoActivity.java,ViewHolder,innerclass,9,10,1,9,7,1,0,14,0,0.4375,NaN,NaN,4,0,1,3,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,36,2,0,3,0,0,0,1,6,0,6,1,0,0,0,61,0,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\LiteListDemoActivity.java,com.example.mapdemo.LiteListDemoActivity,class,11,12,1,11,5,2,0,10,1,0.46666664,0.0,0.0,3,0,2,0,1,0,3,0,0,0,5,1,0,5,0,0,1,0,0,104,2,0,2,0,0,34,69,6,0,6,1,1,2,0,82,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\MyLocationDemoActivity.java,MyLocationDemoActivity,class,9,10,1,9,13,1,0,17,18,0.7083333,0.0,0.0,8,0,4,2,2,0,6,0,0,0,3,1,0,3,0,0,1,0,0,55,2,0,3,0,0,3,1,6,1,4,2,0,0,0,109,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\StreetViewPanoramaNavigationDemoActivity.java,StreetViewPanoramaNavigationDemoActivity,class,12,13,1,12,37,1,0,24,0,0.8161764,0.0,0.0,17,2,14,2,1,0,15,0,0,0,8,6,0,8,0,0,6,0,0,133,16,1,4,0,4,1,19,23,11,20,2,1,0,0,138,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app-utils\src\main\java\com\example\app_utils\Clustering.java,com.example.app_utils.Clustering,class,7,8,1,7,5,1,0,7,0,0.5,-1.0,-1.0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,56,0,1,0,0,0,4,10,13,5,13,1,0,1,0,30,0,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\VisibleRegionDemoActivity.java,com.example.mapdemo.VisibleRegionDemoActivity,class,16,18,2,16,15,2,0,22,14,0.7654321,0.0,0.0,9,0,7,1,1,0,8,0,0,0,9,3,0,5,0,4,3,0,0,101,7,0,1,0,1,1,25,27,2,23,1,2,0,0,119,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app\src\gms\java\com\google\maps\example\MapsObject.java,com.google.maps.example.MapsObject$MainActivity,innerclass,6,6,0,6,2,2,0,6,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,2,1,0,1,0,0,0,0,21,0,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\RetainMapDemoActivity.java,RetainMapDemoActivity,class,6,7,1,6,3,1,0,9,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,2,1,0,1,1,0,0,0,49,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\CircleDemoActivity.java,CircleDemoActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\SaveStateDemoActivity.java,SaveStateDemoActivity,class,9,10,1,9,1,1,0,2,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,5,5,0,5,0,0,5,0,0,84,0,0,0,0,0,3,2,5,0,5,0,0,2,0,57,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\GroundOverlayDemoActivity.java,GroundOverlayDemoActivity,class,13,14,1,13,10,1,0,29,8,0.734375,0.0,0.0,8,0,7,0,1,0,8,0,0,0,8,3,0,8,0,0,4,0,0,51,0,0,2,0,3,1,20,10,6,9,1,0,0,0,96,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app-utils\src\main\java\com\example\app_utils\Clustering.java,com.example.app_utils.Clustering$MyItem,innerclass,3,3,0,3,5,1,0,0,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,22,4,0,0,0,0,0,1,3,0,3,0,0,0,0,16,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app\src\gms\java\com\google\maps\example\LiteMode.java,com.google.maps.example.LiteMode,class,1,1,0,1,1,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0
C:\Users\rochi\Downloads\sneel\android-samples\WearOS\Wearable\src\main\java\com\example\wearosmap\AmbientActivity.java,com.example.wearosmap.AmbientActivity,class,8,9,1,8,2,2,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,23,1,0,0,0,0,1,0,2,1,2,0,1,0,0,31,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\EventsDemoActivity.java,com.example.mapdemo.EventsDemoActivity,class,10,11,1,10,5,2,0,12,0,0.46666667,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,0,0,0,28,0,0,0,0,0,2,0,4,2,4,0,0,0,0,43,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\CameraDemoActivity.java,CameraDemoActivity$Anonymous1,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\polyline\PolylineDemoActivity.java,PolylineDemoActivity,class,23,25,2,23,16,1,0,35,24,0.8271606,0.0,0.0,9,0,7,1,1,0,8,0,0,0,18,9,1,17,0,0,10,0,0,87,0,0,5,0,0,1,25,27,22,23,2,0,0,0,104,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\CameraDemoActivity.java,com.example.mapdemo.CameraDemoActivity$Anonymous1,anonymous,0,0,0,0,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\MainActivity.java,com.example.mapdemo.MainActivity$CustomArrayAdapter,innerclass,7,7,0,7,3,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,1,0,6,1,5,1,0,0,0,36,10,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\SnapshotDemoActivity.java,com.example.mapdemo.SnapshotDemoActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\SnapshotDemoActivity.java,com.example.mapdemo.SnapshotDemoActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\CircleDemoActivity.java,CircleDemoActivity,class,25,26,1,25,33,1,0,46,96,0.9049775,0.0,0.0,17,2,11,5,1,0,12,0,0,0,26,15,0,26,0,0,15,0,0,203,8,6,5,0,1,0,30,42,10,37,2,1,1,0,124,1,0
C:\Users\rochi\Downloads\sneel\android-samples\snippets\app-utils\src\main\java\com\example\app_utils\GeoJSON.java,com.example.app_utils.GeoJSON$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,-1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\LocationSourceDemoActivity.java,com.example.mapdemo.LocationSourceDemoActivity,class,9,10,1,9,6,2,0,13,0,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,51,1,0,2,0,0,1,0,2,0,2,1,0,1,0,39,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\polyline\PolylineSpansControlFragment.java,com.example.mapdemo.polyline.PolylineSpansControlFragment,class,15,17,2,15,21,3,0,39,21,0.7520662,0.0,0.0,11,1,7,2,0,2,9,0,0,0,11,2,0,11,0,0,4,0,2,113,5,1,4,0,1,2,10,23,3,22,2,0,0,1,121,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\LocationSourceDemoActivity.java,LocationSourceDemoActivity,class,7,8,1,7,6,1,0,11,0,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,51,1,0,2,0,0,0,0,2,0,2,1,0,1,0,39,1,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\gms\java\com\example\mapdemo\LiteListDemoActivity.java,com.example.mapdemo.LiteListDemoActivity$NamedLocation,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,10,0
C:\Users\rochi\Downloads\sneel\android-samples\ApiDemos\java\app\src\v3\java\com\example\mapdemo\FeatureView.java,FeatureView,class,3,4,1,3,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,1,0,1,0,0,0,0,36,17,0
