file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,false,12,7,8,0,8,1,9,27,0,7,0,9,0,0,0,0,3,0,10,0,7,3,3,0,0,0,16,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion14/0,false,11,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion15/0,false,16,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion16/0,false,21,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],false,25,4,7,3,4,1,5,24,0,4,1,5,0,0,0,0,3,0,10,0,4,3,3,0,0,0,14,2,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestRDSMySQL.java,de.widdix.awscftemplates.state.TestRDSMySQL,testWithSecret/0,false,55,5,4,0,4,1,5,31,0,5,0,5,0,0,0,0,4,0,16,0,5,4,4,0,0,0,16,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestRDSMySQL.java,de.widdix.awscftemplates.state.TestRDSMySQL,testVersion8/0,false,16,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestRDSMySQL.java,de.widdix.awscftemplates.state.TestRDSMySQL,testVersion/1[java.lang.String],false,20,4,6,2,4,1,5,25,0,5,1,5,0,0,0,0,3,0,13,0,5,3,3,0,0,0,15,2,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestRDSMySQL.java,de.widdix.awscftemplates.state.TestRDSMySQL,testVersion57/0,false,11,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\aws-cf-templates\test\src\test\java\de\widdix\awscftemplates\state\TestS3.java,de.widdix.awscftemplates.state.TestS3,testConfigWrite/0,false,63,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
