file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous3,anonymous,1,1,0,1,4,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,1,0,3,0,0,0,0,1,0,0,0,14,-1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous2,anonymous,0,0,0,0,7,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,21,3,0,0,0,0,0,0,3,0,3,1,0,0,0,15,-1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous1,anonymous,3,3,0,3,7,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,26,5,0,0,1,0,3,0,5,0,5,2,0,0,0,27,-1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,class,22,24,2,22,19,1,0,22,22,0.6296297,0.0,0.0,9,2,6,3,0,0,6,0,0,0,3,0,0,3,0,0,3,0,13,79,8,4,0,0,0,100,0,10,18,9,2,0,0,0,165,17,0
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\git\github\util\GitHubHostTest.java,com.google.copybara.git.github.util.GitHubHostTest,class,5,5,0,5,4,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,62,0,7,0,7,0,0,0,5,40,1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous2,anonymous,3,3,0,3,3,1,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,class,7,12,5,7,13,1,0,8,0,0.3939394,0.0,0.0,11,1,10,1,0,0,10,0,0,0,3,0,0,0,0,3,0,0,5,47,9,0,1,0,1,7,0,5,1,4,1,0,0,0,35,1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous3,anonymous,3,3,0,3,3,1,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\Origin.java,com.google.copybara.Origin$Reader$FindLatestWithLabel,innerclass,8,8,0,8,5,1,0,10,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,1,23,4,0,0,0,0,1,0,4,0,4,1,0,0,0,18,0,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,class,2,7,5,2,9,1,0,4,0,0.52380955,0.0,0.0,7,0,5,0,0,2,7,0,0,0,3,0,0,3,0,0,3,0,0,28,5,0,2,0,0,1,0,3,0,3,0,0,0,0,43,17,0
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\WorkflowTest.java,com.google.copybara.WorkflowTest,class,61,62,1,61,234,1,0,289,0,0.8930839,0.0,0.0,197,0,165,30,2,0,167,0,0,0,32,6,1,27,4,0,6,0,279,2284,18,20,4,5,19,2498,400,685,191,452,2,3,1,54,654,1,0
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\github\api\Commit.java,com.google.copybara.git.github.api.Commit,class,5,7,2,5,4,1,0,3,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,37,4,0,0,0,0,13,0,0,1,3,0,0,1,0,41,1,0
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\transform\metadata\MetadataModuleTest.java,com.google.copybara.transform.metadata.MetadataModuleTest,class,27,28,1,27,69,1,0,69,128,0.78524363,0.0,0.0,69,0,62,7,0,0,62,0,0,0,11,4,0,11,0,0,4,0,20,485,3,0,0,0,0,605,46,100,61,92,0,0,0,15,256,1,0
