file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous3,"visitFile/2[java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes]",false,197,1,9,0,9,4,9,16,3,0,2,9,0,0,0,0,1,0,3,0,0,0,1,0,0,0,12,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous2,"visitFile/2[java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes]",false,143,0,9,0,9,7,9,19,3,3,2,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\util\MergeImportTool.java,com.google.copybara.util.MergeImportTool$Anonymous1,"visitFile/2[java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes]",false,104,3,9,0,9,7,16,24,5,5,2,16,0,0,0,0,1,0,3,0,5,0,2,0,0,0,25,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"delete/5[java.lang.String,java.lang.String,com.google.copybara.buildozer.Sequence<?>,java.lang.String,java.lang.String]",false,211,10,6,0,6,3,7,18,1,3,5,7,2,1,1,0,0,0,26,0,4,5,1,0,0,0,67,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"BuildozerModule/3[com.google.copybara.buildozer.WorkflowOptions,com.google.copybara.buildozer.BuildozerOptions,com.google.copybara.GeneralOptions]",true,53,4,2,1,1,1,3,5,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"create/5[java.lang.String,java.lang.String,com.google.copybara.buildozer.Sequence<?>,java.lang.String,java.lang.String]",false,134,9,4,0,4,2,4,7,1,1,5,4,1,1,1,0,0,0,20,0,1,5,1,0,0,0,59,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"cmd/2[java.lang.String,java.lang.Object]",false,315,6,2,0,2,1,2,3,1,0,2,2,0,0,0,0,0,0,12,0,0,2,0,0,0,0,45,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"mustOmitRecreateParam/3[java.lang.Object,java.lang.Object,java.lang.String]",false,149,0,1,1,0,2,2,5,0,0,3,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,20,2,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,getTargetList/1[java.lang.Object],false,61,3,3,1,2,3,6,12,2,1,1,6,0,0,1,0,0,0,1,0,1,0,2,0,0,0,9,10,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"modify/2[java.lang.Object,com.google.copybara.buildozer.Sequence<?>]",false,282,8,3,0,3,2,4,6,1,0,2,4,2,1,0,0,0,0,26,0,0,4,1,0,0,0,50,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,"print/3[com.google.copybara.buildozer.TransformWork,java.lang.String,java.lang.String]",false,333,5,1,0,1,1,2,3,1,0,3,2,0,0,0,0,0,0,9,0,0,1,0,0,0,0,26,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\buildozer\BuildozerModule.java,com.google.copybara.buildozer.BuildozerModule,coerceCommandList/1[java.lang.Iterable<?>],false,74,2,4,3,1,4,4,15,1,1,1,4,0,0,1,0,0,0,1,0,1,0,2,0,0,0,14,10,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\git\github\util\GitHubHostTest.java,com.google.copybara.git.github.util.GitHubHostTest,testGetUserNameFromUrlEnterpriseHost/0,false,96,2,0,0,0,1,3,8,0,1,0,3,0,0,0,0,0,0,11,0,1,0,0,0,0,0,15,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\git\github\util\GitHubHostTest.java,com.google.copybara.git.github.util.GitHubHostTest,testGetProjectNameFromUrlEnterpriseHost/0,false,66,2,0,0,0,1,3,10,0,1,0,3,0,0,0,0,0,0,15,0,1,0,0,0,0,0,15,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\git\github\util\GitHubHostTest.java,com.google.copybara.git.github.util.GitHubHostTest,testGetUserNameFromUrl/0,false,83,3,0,0,0,1,6,10,0,2,0,6,0,0,0,0,0,0,12,0,2,0,0,0,0,1,30,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\git\github\util\GitHubHostTest.java,com.google.copybara.git.github.util.GitHubHostTest,testGetProjectNameFromUrl/0,false,32,2,0,0,0,1,6,17,0,3,0,6,0,0,0,0,0,0,24,0,3,0,0,0,0,4,23,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous2,getCredentialsRepo/0,false,211,1,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous2,getHttpTransport/0,false,206,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,"create/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",false,59,1,2,1,1,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,toString/0,false,76,0,1,1,0,1,3,3,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,equals/1[java.lang.Object],false,85,1,0,0,0,3,1,10,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,9,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,SetReviewInput/0,true,45,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,getMessage/0,false,63,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,hashCode/0,false,99,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,"SetReviewInput/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>]",true,55,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,repr/1[com.google.copybara.git.gerritapi.Printer],false,104,2,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,getTag/0,false,71,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,"SetReviewInput/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",true,49,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,2,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\git\gerritapi\SetReviewInput.java,com.google.copybara.git.gerritapi.SetReviewInput,getLabels/0,false,67,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous3,newHttpTransport/0,false,220,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\testing\git\GitTestUtil.java,com.google.copybara.testing.git.GitTestUtil$Anonymous3,getCredentialsRepo/0,false,225,1,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\Origin.java,com.google.copybara.Origin$Reader$FindLatestWithLabel,getBaseline/0,false,335,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\Origin.java,com.google.copybara.Origin$Reader$FindLatestWithLabel,visit/1[com.google.copybara.revision.Change<? extends com.google.copybara.revision.Revision>],false,341,6,3,0,3,3,8,11,3,1,1,8,0,0,0,0,0,0,1,0,2,0,1,0,0,0,9,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\Origin.java,com.google.copybara.Origin$Reader$FindLatestWithLabel,"FindLatestWithLabel/2[R,java.lang.String]",true,330,1,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,getSourceRefs/0,false,69,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,"ConfigFileArgs/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",true,40,1,1,1,0,1,2,5,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,getWorkflowName/0,false,50,0,3,3,0,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,getSourceRef/0,false,65,1,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,"ConfigFileArgs/2[java.lang.String,java.lang.String]",true,36,1,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,hasWorkflowName/0,false,54,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\java\com\google\copybara\ConfigFileArgs.java,com.google.copybara.ConfigFileArgs,getConfigPath/0,false,46,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\WorkflowTest.java,com.google.copybara.WorkflowTest,changeRequest_sot_ahead_sot/0,false,1723,2,1,0,1,1,1,3,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\WorkflowTest.java,com.google.copybara.WorkflowTest,testMessageTransformerForSquash/0,false,3452,3,3,0,3,1,7,6,0,1,0,7,1,2,0,0,0,0,6,0,1,1,0,0,0,0,19,1,0,false
C:\Users\rochi\Downloads\sneel\copybara\javatests\com\google\copybara\WorkflowTest.java,com.google.copybara.WorkflowTest,changeRequest_passThruAuthoring/0,false,1880,6,6,0,6,1,10,7,0,1,0,10,2,3,0,0,0,0,4,3,1,1,0,0,0,0,22,1,0,false
