file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,class,21,23,2,21,46,2,0,57,66,0.7692308,0.0,0.0,13,0,5,2,5,1,11,0,0,0,2,1,0,2,0,0,1,0,9,162,17,2,3,1,2,6,0,37,18,34,4,0,1,1,250,1,2
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,class,2,13,11,2,18,1,0,14,0,0.47999996,0.0,0.0,10,0,10,0,0,0,11,0,0,0,5,1,0,5,0,0,2,0,8,60,10,0,6,0,0,7,0,9,1,6,1,0,1,0,76,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\common\config\ConfigException.java,com.linkedin.cruisecontrol.common.config.ConfigException,class,0,6,6,0,4,4,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,1,0,1,4,1,1,2,1,0,0,0,0,22,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\task\SamplingTask.java,com.linkedin.kafka.cruisecontrol.monitor.task.SamplingTask,class,7,9,2,7,10,1,0,13,0,0.055555556,0.0,0.0,2,0,1,0,0,1,2,0,0,0,9,1,0,9,0,0,8,0,1,60,0,1,1,1,0,5,0,19,4,14,4,0,0,0,69,0,3
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\KafkaCruiseControlUtils.java,com.linkedin.kafka.cruisecontrol.KafkaCruiseControlUtils$CompletionType,enum,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,37,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\OperationRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationRunnable,class,8,13,5,8,8,1,4,16,0,0.5833333,0.0,0.0,4,0,1,0,2,1,4,1,0,0,3,1,0,1,2,0,3,0,3,33,1,0,0,1,1,2,2,4,1,4,3,0,0,0,35,1024,1
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\test\java\com\linkedin\cruisecontrol\CruiseControlUtilsTest.java,com.linkedin.cruisecontrol.CruiseControlUtilsTest,class,2,2,0,2,5,1,0,13,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,7,17,0,1,0,0,0,4,5,5,0,5,1,0,0,0,33,1,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\constants\MonitorConfig.java,com.linkedin.kafka.cruisecontrol.config.constants.MonitorConfig,class,8,9,1,8,2,1,0,11,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,125,125,125,0,0,0,125,0,0,132,1,0,0,0,0,105,60,125,27,125,0,0,0,0,213,17,0
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\ZKConfigUtils.java,com.linkedin.kafka.cruisecontrol.config.ZKConfigUtils,class,6,9,3,6,15,1,0,16,1,0.5,0.0,0.0,3,2,1,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,68,2,1,4,0,0,15,0,8,0,8,3,0,0,0,42,17,1
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\AuthenticationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.AuthenticationIntegrationTest$DummySecurityProvider$ConstantLoginService,innerclass,7,7,0,7,8,1,0,5,11,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,3,21,4,0,0,0,0,0,0,3,0,2,0,0,0,0,41,10,0
