file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,brokersToBalance/1[com.linkedin.kafka.cruisecontrol.model.ClusterModel],false,156,2,3,0,3,3,5,10,1,1,1,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,28,4,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"isReplicaRelocationAcceptable/2[com.linkedin.kafka.cruisecontrol.analyzer.BalancingAction,com.linkedin.kafka.cruisecontrol.model.ClusterModel]",false,101,7,15,1,14,7,18,22,4,6,2,18,1,1,0,0,0,0,2,0,6,6,2,0,0,0,65,2,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,isHardGoal/0,false,144,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,clusterModelCompletenessRequirements/0,false,137,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,PotentialNwOutGoal/0,true,52,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,PotentialNwOutGoal/1[com.linkedin.kafka.cruisecontrol.analyzer.BalancingConstraint],true,58,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"selfSatisfied/2[com.linkedin.kafka.cruisecontrol.model.ClusterModel,com.linkedin.kafka.cruisecontrol.analyzer.BalancingAction]",false,181,7,17,1,16,6,19,22,4,10,2,19,0,0,0,2,0,0,0,0,10,7,1,0,0,0,61,4,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"updateGoalState/2[com.linkedin.kafka.cruisecontrol.model.ClusterModel,com.linkedin.kafka.cruisecontrol.analyzer.OptimizationOptions]",false,244,5,4,0,4,3,5,15,1,0,2,5,0,0,0,0,1,0,1,0,1,0,2,0,0,0,44,4,1,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"initGoalState/2[com.linkedin.kafka.cruisecontrol.model.ClusterModel,com.linkedin.kafka.cruisecontrol.analyzer.OptimizationOptions]",false,223,5,8,0,8,1,8,5,0,1,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,57,4,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,clusterModelStatsComparator/0,false,132,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,brokersUnderEstimatedMaxPossibleNwOut/1[com.linkedin.kafka.cruisecontrol.model.ClusterModel],false,333,4,7,1,6,3,7,11,1,3,1,7,0,0,1,0,0,0,0,0,3,1,2,0,0,0,34,2,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"actionAcceptance/2[com.linkedin.kafka.cruisecontrol.analyzer.BalancingAction,com.linkedin.kafka.cruisecontrol.model.ClusterModel]",false,74,4,2,0,2,4,2,11,2,0,2,2,1,2,0,0,0,0,2,0,0,1,1,0,0,0,43,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\analyzer\goals\PotentialNwOutGoal.java,com.linkedin.kafka.cruisecontrol.analyzer.goals.PotentialNwOutGoal,"rebalanceForBroker/4[com.linkedin.kafka.cruisecontrol.model.Broker,com.linkedin.kafka.cruisecontrol.model.ClusterModel,java.util.Set<com.linkedin.kafka.cruisecontrol.analyzer.goals.Goal>,com.linkedin.kafka.cruisecontrol.analyzer.OptimizationOptions]",false,273,11,17,0,17,14,24,33,1,11,4,24,1,1,1,1,0,2,1,0,11,2,4,0,0,1,72,4,1,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,canTransferToState/1[com.linkedin.kafka.cruisecontrol.detector.ProvisionerState.State],false,45,1,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,state/0,false,52,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,createdMs/0,false,66,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,"update/2[com.linkedin.kafka.cruisecontrol.detector.ProvisionerState.State,java.lang.String]",false,85,2,1,0,1,2,6,10,0,0,2,6,1,1,0,0,0,0,4,0,3,1,1,0,0,0,34,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,equals/1[java.lang.Object],false,101,1,0,0,0,7,2,10,3,1,1,2,0,0,0,6,0,0,0,0,1,0,1,0,0,0,15,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,summary/0,false,59,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,toString/0,false,118,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,updatedMs/0,false,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,hashCode/0,false,113,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,"ProvisionerState/2[com.linkedin.kafka.cruisecontrol.detector.ProvisionerState.State,java.lang.String]",true,33,1,4,4,0,1,2,6,0,0,2,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,10,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\detector\ProvisionerState.java,com.linkedin.kafka.cruisecontrol.detector.ProvisionerState,(initializer 1),false,27,1,16,0,16,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\common\config\ConfigException.java,com.linkedin.cruisecontrol.common.config.ConfigException,ConfigException/1[java.lang.String],true,13,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\common\config\ConfigException.java,com.linkedin.cruisecontrol.common.config.ConfigException,"ConfigException/2[java.lang.String,java.lang.Object]",true,17,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\main\java\com\linkedin\cruisecontrol\common\config\ConfigException.java,com.linkedin.cruisecontrol.common.config.ConfigException,"ConfigException/3[java.lang.String,java.lang.Object,java.lang.String]",true,21,0,5,5,0,2,0,3,0,0,3,0,0,0,0,1,0,1,4,0,0,2,0,0,0,0,7,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\task\SamplingTask.java,com.linkedin.kafka.cruisecontrol.monitor.task.SamplingTask,"SamplingTask/7[long,com.linkedin.kafka.cruisecontrol.common.MetadataClient,com.linkedin.kafka.cruisecontrol.monitor.task.LoadMonitorTaskRunner,com.linkedin.kafka.cruisecontrol.monitor.sampling.MetricFetcherManager,com.linkedin.kafka.cruisecontrol.monitor.sampling.SampleStore,com.linkedin.kafka.cruisecontrol.monitor.sampling.SampleStore,com.linkedin.kafka.cruisecontrol.monitor.task.Time]",true,36,5,1,1,0,1,1,10,0,0,7,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,31,0,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\monitor\task\SamplingTask.java,com.linkedin.kafka.cruisecontrol.monitor.task.SamplingTask,run/0,false,47,3,7,0,7,9,12,39,0,5,0,12,0,0,1,1,1,0,5,0,10,3,4,0,0,0,35,1,3,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\KafkaCruiseControlUtils.java,com.linkedin.kafka.cruisecontrol.KafkaCruiseControlUtils$CompletionType,cachedValues/0,false,938,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\OperationRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationRunnable,getResult/0,false,59,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1028,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\OperationRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationRunnable,"OperationRunnable/2[com.linkedin.kafka.cruisecontrol.KafkaCruiseControl,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationFuture]",true,24,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\OperationRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationRunnable,future/0,false,32,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\servlet\handler\async\runnable\OperationRunnable.java,com.linkedin.kafka.cruisecontrol.servlet.handler.async.runnable.OperationRunnable,run/0,false,37,5,7,0,7,5,15,20,0,1,0,15,1,1,0,0,1,1,2,2,1,1,3,0,0,0,14,1,1,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\test\java\com\linkedin\cruisecontrol\CruiseControlUtilsTest.java,com.linkedin.cruisecontrol.CruiseControlUtilsTest,(initializer 1),false,18,0,16,0,16,1,1,3,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,12,8,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control-core\src\test\java\com\linkedin\cruisecontrol\CruiseControlUtilsTest.java,com.linkedin.cruisecontrol.CruiseControlUtilsTest,testUtcDate/0,false,25,2,2,0,2,4,12,10,0,3,0,12,0,0,1,0,0,0,0,1,3,0,1,0,0,0,22,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\constants\MonitorConfig.java,com.linkedin.kafka.cruisecontrol.config.constants.MonitorConfig,define/1[com.linkedin.kafka.cruisecontrol.config.constants.ConfigDef],false,377,1,1,1,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,13,9,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\constants\MonitorConfig.java,com.linkedin.kafka.cruisecontrol.config.constants.MonitorConfig,MonitorConfig/0,true,368,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\ZKConfigUtils.java,com.linkedin.kafka.cruisecontrol.config.ZKConfigUtils,zkClientConfigFromKafkaConfig/1[com.linkedin.kafka.cruisecontrol.config.KafkaCruiseControlConfig],false,46,3,3,2,1,3,4,13,2,1,1,4,1,1,1,0,0,0,1,0,1,0,2,0,0,0,20,9,0,true
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\ZKConfigUtils.java,com.linkedin.kafka.cruisecontrol.config.ZKConfigUtils,ZKConfigUtils/0,true,37,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\ZKConfigUtils.java,com.linkedin.kafka.cruisecontrol.config.ZKConfigUtils,"setZooKeeperClientProperty/3[com.linkedin.kafka.cruisecontrol.config.ZKClientConfig,java.lang.String,com.linkedin.kafka.cruisecontrol.config.KafkaCruiseControlConfig]",false,59,4,1,1,0,10,12,34,0,5,3,12,0,0,0,4,0,0,2,0,5,0,3,0,0,0,19,10,1,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\main\java\com\linkedin\kafka\cruisecontrol\config\ZKConfigUtils.java,com.linkedin.kafka.cruisecontrol.config.ZKConfigUtils,(initializer 1),false,21,0,16,0,16,1,1,15,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\AuthenticationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.AuthenticationIntegrationTest$DummySecurityProvider$ConstantLoginService,"login/3[java.lang.String,java.lang.Object,com.linkedin.kafka.cruisecontrol.servlet.security.ServletRequest]",false,139,2,0,0,0,3,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\AuthenticationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.AuthenticationIntegrationTest$DummySecurityProvider$ConstantLoginService,validate/1[com.linkedin.kafka.cruisecontrol.servlet.security.UserIdentity],false,144,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\AuthenticationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.AuthenticationIntegrationTest$DummySecurityProvider$ConstantLoginService,getName/0,false,134,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\cruise-control\cruise-control\src\test\java\com\linkedin\kafka\cruisecontrol\servlet\security\AuthenticationIntegrationTest.java,com.linkedin.kafka.cruisecontrol.servlet.security.AuthenticationIntegrationTest$DummySecurityProvider$ConstantLoginService,setIdentityService/1[com.linkedin.kafka.cruisecontrol.servlet.security.IdentityService],false,154,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
