file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\auth-service\src\main\java\com\goodskill\auth\service\UserAuthAccountService.java,com.goodskill.auth.service.UserAuthAccountService,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\auth-service\src\main\java\com\goodskill\auth\mapper\UserRoleMapper.java,com.goodskill.auth.mapper.UserRoleMapper,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\auth-service\src\test\java\com\goodskill\auth\service\impl\UserAuthAccountServiceImplTest.java,com.goodskill.auth.service.impl.UserAuthAccountServiceImplTest,class,11,11,0,11,3,1,0,9,1,0.6666667,0.0,0.0,3,0,0,0,0,3,3,0,0,0,4,0,0,0,0,4,0,0,0,19,0,0,0,0,0,4,0,2,0,6,0,0,0,0,25,0,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\oauth2-auth-server\src\test\java\com\goodskill\oauth2\authserver\OAuth2AuthorizationServerApplicationTests.java,com.goodskill.oauth2.authserver.OAuth2AuthorizationServerApplicationTests,class,7,7,0,7,2,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,12,0,0,0,1,0,0,0,0,51,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-web\src\main\java\com\goodskill\web\SampleWebApplication.java,com.goodskill.web.SampleWebApplication,class,6,7,1,6,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\auth-service\src\main\java\com\goodskill\auth\service\PermissionService.java,com.goodskill.auth.service.PermissionService,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-auth\auth-service\src\main\java\com\goodskill\auth\mapper\RoleMapper.java,com.goodskill.auth.mapper.RoleMapper,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-common\goodskill-core\src\main\java\com\goodskill\common\core\info\OAuth2UserInfo.java,com.goodskill.common.core.info.OAuth2UserInfo,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-common\goodskill-common-service\src\main\java\com\goodskill\common\mapper\SysDictBizMapper.java,com.goodskill.common.mapper.SysDictBizMapper,interface,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\rochi\Downloads\sneel\goodsKill\goodskill-gateway\src\main\java\com\goodskill\gateway\config\IgnoreProperties.java,com.goodskill.gateway.config.IgnoreProperties,class,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,1,0
