file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,class,96,98,2,96,588,1,0,262,4992,0.92239004,0.0,0.0,112,3,2,109,0,1,3,0,0,0,13,2,0,13,0,0,13,0,46,2324,266,11,9,0,18,19,2,568,7,599,4,0,0,34,196,1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\schema\visitor\GraphQLSchemaVisitorAdapter.java,graphql.schema.visitor.GraphQLSchemaVisitorAdapter$ScalarTypeEnv,innerclass,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,class,8,10,2,8,4,1,0,6,6,0.0,0.0,0.0,4,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,10,0,6,1,6,0,2,1,0,34,1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\schema\diffing\ana\SchemaDifference.java,graphql.schema.diffing.ana.SchemaDifference$ObjectInterfaceImplementationAddition,innerclass,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,class,84,95,11,84,102,1,4,258,1027,0.9619565,0.0,0.0,46,6,4,14,26,2,32,1,0,0,4,0,0,1,3,0,4,0,37,557,68,4,10,10,4,8,4,160,1,158,3,0,0,23,437,1025,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,anonymous,9,9,0,9,13,1,0,29,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,4,0,1,0,2,11,2,12,3,0,0,2,44,-1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous1,anonymous,7,7,0,7,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,1,0,0,0,0,2,0,1,1,0,0,0,23,-1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\test\groovy\graphql\execution\pubsub\Message.java,graphql.execution.pubsub.Message,class,0,3,3,0,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,3,0,2,2,2,0,0,0,0,13,1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\main\java\graphql\execution\ResolveType.java,graphql.execution.ResolveType,class,21,23,2,21,8,1,0,32,10,0.0,0.0,0.0,5,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,36,6,0,1,0,0,1,0,7,1,7,1,0,0,2,51,1,0
C:\Users\rochi\Downloads\sneel\graphql-java\src\test\groovy\readme\InstrumentationExamples.java,readme.InstrumentationExamples$FooInstrumentation,innerclass,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
