file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\test\java\org\archive\crawler\framework\CrawlerProcessorTestBase.java,org.archive.crawler.framework.CrawlerProcessorTestBase,class,4,12,8,4,2,2,8,1,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1025,0
C:\Users\rochi\Downloads\sneel\heritrix3\contrib\src\test\java\org\archive\modules\recrawl\wbm\WbmPersistLoadProcessorTest.java,org.archive.modules.recrawl.wbm.WbmPersistLoadProcessorTest$TestNormalHttpResponse,innerclass,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,8,0,0,0,0,1,8,3,2,1,2,0,0,0,0,31,9,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\writer\Kw3Constants.java,org.archive.modules.writer.Kw3Constants,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,0,0,0,13,0,0,0,0,0,11,0,11,0,11,0,0,0,0,27,1,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,class,10,11,1,10,30,4,0,36,14,0.6666667,0.0,0.0,8,0,4,2,2,0,6,0,0,0,3,1,0,3,0,0,1,0,2,101,9,2,6,2,2,18,3,16,7,13,4,0,0,0,124,1,1
C:\Users\rochi\Downloads\sneel\heritrix3\contrib\src\main\java\org\archive\modules\extractor\ExtractorYoutubeDL.java,org.archive.modules.extractor.ExtractorYoutubeDL$YoutubeDLResults,innerclass,0,0,0,0,2,1,0,2,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,15,0,0,0,1,0,0,2,3,0,3,1,0,0,0,16,12,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\deciderules\ResourceNoLongerThanDecideRule.java,org.archive.modules.deciderules.ResourceNoLongerThanDecideRule,class,4,6,2,4,16,3,1,13,19,0.90476197,0.0,0.0,7,0,5,0,2,0,9,0,0,0,3,3,1,2,0,0,3,0,2,51,5,0,3,1,0,6,4,8,0,5,3,0,0,0,131,1,0
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\main\java\org\archive\crawler\frontier\WorkQueueFrontier.java,org.archive.crawler.frontier.WorkQueueFrontier,class,28,35,7,28,190,2,1,244,2373,0.9245014,0.0,0.0,78,1,42,4,32,0,78,7,0,1,18,4,0,3,15,0,3,0,31,953,39,20,41,9,15,117,52,145,37,122,4,0,0,0,627,1025,1
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java,org.archive.crawler.framework.Engine$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\test\java\org\archive\crawler\selftest\RandomServletTest.java,org.archive.crawler.selftest.RandomServletTest,class,2,2,0,2,2,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,0,0,0,1,2,4,1,4,1,0,0,0,14,1,0
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\main\java\org\archive\crawler\io\UriProcessingFormatter.java,org.archive.crawler.io.UriProcessingFormatter$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\writer\MirrorWriterProcessor.java,org.archive.modules.writer.MirrorWriterProcessor$PathSegment$CaseInsensitiveFilenameFilter,innerclass,0,0,0,0,4,1,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,2,0,0,2,1,1,0,1,1,0,0,0,26,0,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\warc\MetadataRecordBuilder.java,org.archive.modules.warc.MetadataRecordBuilder,class,5,6,1,5,18,2,0,42,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,63,2,2,4,0,0,19,5,8,3,8,2,0,0,0,57,1,0
C:\Users\rochi\Downloads\sneel\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\HBaseContentDigestHistory.java,org.archive.modules.recrawl.hbase.HBaseContentDigestHistory,class,17,18,1,17,52,2,0,53,76,0.8,0.0,0.0,20,0,14,0,6,0,21,0,0,1,10,4,0,2,8,0,4,0,2,209,14,3,7,6,0,54,6,39,21,30,5,0,0,0,174,1,1
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\LinkContext.java,org.archive.modules.extractor.LinkContext$SimpleLinkContext,innerclass,1,1,0,1,2,2,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,16,9,0
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\test\java\org\archive\modules\fetcher\FetchHTTPTest.java,org.archive.modules.fetcher.FetchHTTPTest,class,28,32,4,28,90,2,0,142,209,0.74509805,0.0,0.0,51,9,37,0,14,0,51,0,0,0,3,0,0,0,3,0,0,0,63,654,14,4,15,3,0,210,59,97,9,83,4,2,2,0,249,1,0
