file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\test\java\org\archive\crawler\framework\CrawlerProcessorTestBase.java,org.archive.crawler.framework.CrawlerProcessorTestBase,"verifySerialization/4[java.lang.Object,byte[],java.lang.Object,byte[]]",false,43,1,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Users\rochi\Downloads\sneel\heritrix3\engine\src\test\java\org\archive\crawler\framework\CrawlerProcessorTestBase.java,org.archive.crawler.framework.CrawlerProcessorTestBase,setUp/0,false,36,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,false
C:\Users\rochi\Downloads\sneel\heritrix3\contrib\src\test\java\org\archive\modules\recrawl\wbm\WbmPersistLoadProcessorTest.java,org.archive.modules.recrawl.wbm.WbmPersistLoadProcessorTest$TestNormalHttpResponse,TestNormalHttpResponse/0,true,71,3,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,1,6,3,0,1,0,0,0,0,28,1,0,false
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,innerExtract/1[org.archive.modules.extractor.CrawlURI],false,98,6,2,0,2,7,7,24,1,3,1,7,2,2,2,3,0,2,0,0,3,0,4,0,0,0,19,4,0,false
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,"recordOutlink/4[org.archive.modules.extractor.CrawlURI,java.net.URL,java.util.Date,boolean]",false,165,2,3,1,2,4,8,17,1,2,4,8,0,0,0,1,1,0,4,1,2,1,2,0,0,0,28,2,0,false
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,parseSiteMap/1[org.archive.modules.extractor.CrawlURI],false,137,5,2,1,1,4,9,18,1,3,1,9,1,1,0,0,1,0,4,1,4,3,2,0,0,0,36,2,0,true
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,shouldExtract/1[org.archive.modules.extractor.CrawlURI],false,50,1,0,0,0,11,14,25,4,2,1,14,0,0,0,2,0,0,10,1,2,3,3,0,0,0,30,4,1,false
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,setEnableLenientExtraction/1[boolean],false,226,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,1,0,true
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,setUrlPattern/1[java.lang.String],false,213,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,0,true
C:\Users\rochi\Downloads\sneel\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorSitemap.java,org.archive.modules.extractor.ExtractorSitemap,isEnableLenientExtraction/0,false,217,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
