file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\util\JedisSentinelTestUtil.java,redis.clients.jedis.util.JedisSentinelTestUtil$Anonymous1,anonymous,1,1,0,1,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,2,0,1,0,0,0,18,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous49,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,3,0,3,0,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\search\SearchResult.java,redis.clients.jedis.search.SearchResult,class,3,12,9,3,4,2,0,3,0,0.41666666,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,1,1,2,0,0,2,0,1,72,3,0,0,0,0,3,0,3,1,3,0,1,1,0,44,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous48,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,3,5,1,5,1,0,0,0,10,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\modules\search\QueryBuilderTest.java,redis.clients.jedis.modules.search.QueryBuilderTest,class,4,4,0,4,6,1,0,19,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,54,29,16,0,5,0,0,0,0,39,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\commands\unified\ListCommandsTestBase.java,redis.clients.jedis.commands.unified.ListCommandsTestBase$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,3,1,0,0,0,1,0,0,0,4,-1,1
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\args\RawableFactory.java,redis.clients.jedis.args.RawableFactory$RawString,innerclass,2,2,0,2,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,9,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\commands\unified\ListCommandsTestBase.java,redis.clients.jedis.commands.unified.ListCommandsTestBase$Anonymous2,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,1,1,0,0,0,1,0,0,0,4,-1,1
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\CommandObject.java,redis.clients.jedis.CommandObject,class,3,33,30,3,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\modules\search\AggregationTest.java,redis.clients.jedis.modules.search.AggregationTest,class,13,14,1,13,21,2,0,74,0,0.23529412,0.0,0.0,17,1,15,2,0,0,15,0,0,0,1,1,0,1,0,0,1,0,6,258,0,1,1,2,3,330,140,59,0,59,1,0,0,4,75,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\modules\search\AggregationBuilderTest.java,redis.clients.jedis.modules.search.AggregationBuilderTest,class,2,2,0,2,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,2,0,2,0,0,0,0,10,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\util\ClientKillerUtil.java,redis.clients.jedis.util.ClientKillerUtil,class,1,3,2,1,4,1,0,6,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,4,2,1,1,1,2,0,0,0,14,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous43,anonymous,3,3,0,3,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,2,2,1,0,1,1,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\timeseries\RedisTimeSeriesCommands.java,redis.clients.jedis.timeseries.RedisTimeSeriesCommands,interface,11,12,1,11,29,1,0,0,406,0.0,0.0,0.0,29,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\ClusterPipeliningTest.java,redis.clients.jedis.ClusterPipeliningTest,class,34,35,1,34,76,1,0,205,0,0.76666665,0.0,0.0,40,3,38,2,0,0,38,0,0,0,9,8,0,9,0,0,2,0,102,874,0,9,24,32,0,541,265,382,13,378,3,0,0,2,250,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous42,anonymous,1,1,0,1,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,1,0,1,2,0,0,0,0,1,0,0,0,6,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\StreamEntryID.java,redis.clients.jedis.StreamEntryID,class,2,28,26,2,19,1,0,9,0,0.8333333,0.0,0.0,13,0,11,2,0,0,11,0,0,0,12,10,9,3,0,0,10,0,4,105,9,0,6,0,0,2,7,19,1,15,1,7,0,0,75,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\mocked\unified\UnifiedJedisScriptingAndFunctionsCommandsTest.java,redis.clients.jedis.mocked.unified.UnifiedJedisScriptingAndFunctionsCommandsTest,class,7,7,0,7,62,3,0,39,1891,0.0,0.0,0.0,62,0,62,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,30,656,0,0,0,0,0,126,8,220,0,220,0,0,0,0,80,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous41,anonymous,1,1,0,1,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,1,0,1,2,0,0,0,0,1,0,0,0,6,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous40,anonymous,3,3,0,3,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,1,0,0,2,2,3,1,3,1,0,0,0,10,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous47,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,2,4,0,4,1,0,0,0,9,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous46,anonymous,2,2,0,2,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,3,5,1,5,1,0,0,0,9,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous45,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,2,4,0,4,1,0,0,0,9,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\search\Query.java,redis.clients.jedis.search.Query,class,10,17,7,10,79,3,0,22,340,0.9227109,0.0,0.0,29,0,29,0,0,0,29,0,0,0,29,0,0,29,0,0,3,0,10,363,26,8,24,0,1,1,24,63,1,32,3,0,5,1,228,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous44,anonymous,4,4,0,4,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,2,2,1,0,1,1,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\io\redis\examples\SetGetExample.java,io.redis.examples.SetGetExample,class,2,2,0,2,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,10,0,3,1,3,1,0,0,0,18,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\test\java\redis\clients\jedis\params\ModuleLoadExParamsTest.java,redis.clients.jedis.params.ModuleLoadExParamsTest,class,3,4,1,3,6,1,0,8,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,4,0,10,0,10,0,0,0,0,24,1,0
C:\Users\rochi\Downloads\sneel\jedis\src\main\java\redis\clients\jedis\BuilderFactory.java,redis.clients.jedis.BuilderFactory$Anonymous59,anonymous,0,0,0,0,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,2,1,1,0,0,0,3,4,1,3,1,0,0,0,9,-1,0
