file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\mutationtest\engine\gregor\mutators\RemoveConditionalMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest$HasIF_ICMPNE,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0,2,0,1,0,1,1,0,0,0,18,10,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,class,3,5,2,3,4,1,0,2,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,19,2,0,0,0,0,0,0,1,0,1,0,1,0,0,10,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\WriterFactory.java,org.pitest.mutationtest.incremental.WriterFactory,interface,0,8,8,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,class,4,6,2,4,13,1,0,3,43,0.7954545,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,3,0,0,43,5,0,0,0,0,0,1,4,0,4,1,0,0,0,30,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\MutationTestWorker.java,org.pitest.mutationtest.execute.MutationTestWorker$Anonymous1,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,10,-1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\test\java\com\example\MutationsInNestedClasses.java,com.example.MutationsInNestedClasses$Bar,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-java8-verification\src\test\java\com\example\java7\HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,class,2,2,0,2,8,1,0,4,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,41,0,0,0,0,0,10,4,15,0,15,0,0,0,0,29,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\classinfo\ComputeClassWriter.java,org.pitest.classinfo.ComputeClassWriter,class,6,12,6,6,25,2,0,20,17,0.71428573,0.0,0.0,7,1,1,5,1,0,2,0,0,0,2,0,0,2,0,0,2,0,2,100,13,5,5,0,6,10,7,27,8,20,4,0,0,0,101,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\report\xml\XMLReportListener.java,org.pitest.mutationtest.report.xml.Tag,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\containers\TestContainersSendCorrectNotifications.java,org.pitest.containers.TestContainersSendCorrectNotifications$OneFailingTest,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\TestJUnitConfiguration.java,org.pitest.TestJUnitConfiguration$HideFromJUnit8,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1032,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\sequence\SequenceQuery.java,org.pitest.sequence.Split,class,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\mutationtest\engine\gregor\mutators\NonVoidMethodCallMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutatorTest$HasLongMethodCall,innerclass,1,1,0,1,2,1,0,1,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,1,1,1,1,0,0,0,0,7,10,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\mutationtest\engine\gregor\mutators\EmptyObjectReturnValsTest.java,org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsTest$BoxedInteger,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\mutationtest\engine\gregor\mutators\PrimitiveReturnMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnMutatorTest$ByteReturn,innerclass,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,1,0,1,0,0,0,0,0,4,10,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\testapi\execute\TestPitest.java,org.pitest.testapi.execute.TestPitest$ExpectedExceptionNotThrown,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\TestJUnitConfiguration.java,org.pitest.TestJUnitConfiguration$HideFromJUnit9,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1032,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\test\java\org\pitest\mutationtest\build\intercept\timeout\AvoidForLoopCounterTest.java,org.pitest.mutationtest.build.intercept.timeout.AvoidForLoopCounterTest$HasForLoopOverListStoredAsField,innerclass,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,8,0,1,1,0,0,1,1,1,1,2,1,0,0,0,11,8,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\verify\BuildVerifierFactory.java,org.pitest.mutationtest.verify.BuildVerifierFactory,interface,5,16,11,5,2,1,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest-ant\src\test\java\org\pitest\ant\PitestTaskTest.java,org.pitest.ant.PitestTaskTest,class,15,15,0,15,57,1,0,62,0,0.4,0.0,0.0,57,0,57,0,0,0,57,0,0,0,5,0,1,4,0,0,0,0,0,356,0,0,0,0,0,119,0,11,3,10,0,0,1,0,160,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\classpath\OtherClassLoaderClassPathRoot.java,org.pitest.classpath.OtherClassLoaderClassPathRoot,class,1,4,3,1,5,1,0,4,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,18,3,0,0,0,0,3,0,1,1,1,0,0,0,0,22,1,0
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\engine\gregor\mutators\returns\EmptyObjectReturnValsMutator.java,org.pitest.mutationtest.engine.gregor.mutators.returns.AReturnMethodVisitor,class,9,11,2,9,17,3,0,22,118,0.875,0.0,0.0,16,10,0,13,2,1,4,0,0,0,1,1,0,0,0,1,1,0,15,172,15,0,0,0,0,20,0,2,0,2,0,10,0,0,56,0,0
