file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\test\java\org\pitest\mutationtest\engine\gregor\mutators\RemoveConditionalMutatorTest.java,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutatorTest$HasIF_ICMPNE,apply/1[int],false,665,1,1,0,1,2,1,9,2,1,1,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,9,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,close/0,false,31,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,nullOutputStream/0,false,16,1,2,1,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,create/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\NullWriterFactory.java,org.pitest.mutationtest.incremental.NullWriterFactory,NullWriterFactory/0,true,12,1,3,2,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\WriterFactory.java,org.pitest.mutationtest.incremental.WriterFactory,create/0,false,7,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\main\java\org\pitest\mutationtest\incremental\WriterFactory.java,org.pitest.mutationtest.incremental.WriterFactory,close/0,false,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,CheckTestHasFailedResultListener/1[boolean],true,31,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSuccess/1[org.pitest.testapi.TestResult],false,51,1,4,3,1,2,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getSucceedingTests/0,false,65,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestFailure/1[org.pitest.testapi.TestResult],false,36,1,3,2,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestSkipped/1[org.pitest.testapi.TestResult],false,41,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getNumberOfTestsRun/0,false,73,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onRunStart/0,false,83,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,getFailingTests/0,false,69,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onRunEnd/0,false,78,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,onTestStart/1[org.pitest.testapi.Description],false,46,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\CheckTestHasFailedResultListener.java,org.pitest.mutationtest.execute.CheckTestHasFailedResultListener,status/0,false,57,1,3,3,0,2,1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest\src\main\java\org\pitest\mutationtest\execute\MutationTestWorker.java,org.pitest.mutationtest.execute.MutationTestWorker$Anonymous1,execute/1[org.pitest.testapi.TestUnit],false,171,4,3,0,3,1,1,6,1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-entry\src\test\java\com\example\MutationsInNestedClasses.java,com.example.MutationsInNestedClasses$Bar,barMethod/0,false,12,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-java8-verification\src\test\java\com\example\java7\HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,stringSwitchShouldReturnB/0,false,24,2,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-java8-verification\src\test\java\com\example\java7\HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldReturnA1/0,false,62,2,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,14,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-java8-verification\src\test\java\com\example\java7\HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,switchIntegerAndThenSwitchStringShouldReturnC1/0,false,88,2,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,14,1,0,false
C:\Users\rochi\Downloads\sneel\pitest\pitest-java8-verification\src\test\java\com\example\java7\HasSwitchOnStringTesteeTest.java,com.example.java7.HasSwitchOnStringTesteeTest,stringSwitchShouldReturnC/0,false,36,2,1,0,1,1,3,5,0,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,false
