file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getPackages/0,false,23,2,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,isHermesEnabled/0,false,42,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getJSMainModuleName/0,false,32,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,getUseDeveloperSupport/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,isNewArchEnabled/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,getReactNativeHost/0,false,48,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,onCreate/0,false,53,2,2,0,2,2,6,8,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,getFileShare/1[cl.json.social.ReadableMap],false,194,3,4,1,3,4,3,16,2,2,1,3,1,1,0,0,0,0,8,0,4,0,1,0,0,0,13,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,ShareIntent/1[cl.json.social.ReactApplicationContext],true,47,3,2,0,2,1,3,5,0,0,1,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,getPlayStoreLink/0,false,333,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1028,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,"excludeChooserIntent/2[cl.json.social.Intent,cl.json.social.ReadableMap]",false,53,4,2,1,1,7,25,36,2,7,2,25,0,0,2,1,0,0,9,2,7,1,3,1,0,0,20,1,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,openIntentChooser/0,false,259,7,12,1,11,8,21,41,1,6,0,21,5,2,0,2,0,0,8,0,8,0,2,0,0,0,19,4,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,getPackage/0,false,325,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,urlEncode/1[java.lang.String],false,231,0,1,1,0,2,1,8,1,0,1,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,9,12,0,false
C:\Users\rochi\Downloads\sneel\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,"isPackageInstalled/2[java.lang.String,cl.json.social.Context]",false,303,2,2,2,0,2,2,10,2,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,9,9,0,false
