file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\seata\saga\seata-saga-statelang\src\main\java\org\apache\seata\saga\statelang\domain\RecoverStrategy.java,org.apache.seata.saga.statelang.domain.RecoverStrategy,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\rochi\Downloads\sneel\seata\core\src\test\java\org\apache\seata\core\context\RootContextTest.java,org.apache.seata.core.context.RootContextTest,class,3,3,0,3,16,1,0,23,44,0.625,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,2,0,0,124,0,0,0,1,0,1,4,3,0,3,2,0,0,2,66,1,0
C:\Users\rochi\Downloads\sneel\seata\config\seata-config-core\src\main\java\org\apache\seata\config\ConfigurationChangeListener.java,org.apache.seata.config.ConfigurationChangeListener,interface,3,26,23,3,6,1,0,6,15,0.9444444,0.0,0.0,6,0,0,0,0,6,6,0,0,0,3,0,0,0,0,3,0,0,0,24,1,0,0,0,0,1,2,3,0,3,1,0,0,1,47,1,0
C:\Users\rochi\Downloads\sneel\seata\rm-datasource\src\test\java\org\apache\seata\rm\datasource\exec\UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,class,15,16,1,15,3,1,0,16,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,1,0,67,54,20,0,21,1,0,0,2,54,1,0
C:\Users\rochi\Downloads\sneel\seata\sqlparser\seata-sqlparser-antlr\src\main\java\org\apache\seata\sqlparser\antlr\mysql\parser\MySqlParser.java,org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser$AtomTableItemContext,innerclass,12,12,0,12,18,3,0,9,105,1.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,0,49,13,0,0,0,3,0,7,0,0,1,1,0,0,0,52,9,0
C:\Users\rochi\Downloads\sneel\seata\sqlparser\seata-sqlparser-antlr\src\main\java\org\apache\seata\sqlparser\antlr\mysql\parser\MySqlParser.java,org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser$AlterUserMysqlV56Context,innerclass,9,9,0,9,13,3,0,9,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,3,0,2,0,0,0,1,0,0,0,40,9,0
C:\Users\rochi\Downloads\sneel\seata\sqlparser\seata-sqlparser-antlr\src\main\java\org\apache\seata\sqlparser\antlr\mysql\parser\MySqlParser.java,org.apache.seata.sqlparser.antlr.mysql.parser.MySqlParser$ShowCreateUserContext,innerclass,9,9,0,9,11,3,0,7,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,3,0,4,0,0,0,1,0,0,0,37,9,0
C:\Users\rochi\Downloads\sneel\seata\sqlparser\seata-sqlparser-druid\src\main\java\org\apache\seata\sqlparser\druid\SQLOperateRecognizerHolder.java,org.apache.seata.sqlparser.druid.SQLOperateRecognizerHolder,interface,2,11,9,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\rochi\Downloads\sneel\seata\sqlparser\seata-sqlparser-core\src\main\java\org\apache\seata\sqlparser\struct\TableMetaCache.java,org.apache.seata.sqlparser.struct.TableMetaCache,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\rochi\Downloads\sneel\seata\rm-datasource\src\main\java\org\apache\seata\rm\datasource\xa\ExecuteTemplateXA.java,org.apache.seata.rm.datasource.xa.ExecuteTemplateXA,class,6,9,3,6,13,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,59,1,0,0,5,2,8,0,4,3,3,5,0,0,0,43,1,3
