file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,class,9,14,5,9,15,1,0,3,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,44,9,0,0,0,0,6,0,0,0,0,0,0,0,0,50,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,class,18,19,1,18,11,1,0,37,0,0.4181818,0.0,0.0,11,0,0,3,0,8,8,0,0,0,5,0,0,5,0,0,5,0,0,87,1,0,0,0,0,27,17,12,0,12,0,0,0,0,93,16,0
C:\Users\rochi\Downloads\sneel\selenide\modules\testng\src\test\java\com\codeborne\selenide\testng\SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,class,14,15,1,14,10,3,0,35,0,0.2,0.0,0.0,10,0,0,1,0,9,9,0,0,0,1,0,0,1,0,0,1,0,0,87,1,0,0,0,0,9,0,13,0,13,0,0,5,0,85,17,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\ex\ListSizeMismatchTest.java,com.codeborne.selenide.ex.ListSizeMismatchTest,class,5,5,0,5,2,1,0,7,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,5,0,0,5,0,0,5,0,7,15,0,0,0,0,0,15,2,7,2,7,0,0,0,0,34,16,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\SelenideConfigTest.java,com.codeborne.selenide.SelenideConfigTest,class,4,4,0,4,6,1,0,7,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,14,33,0,0,0,0,0,31,0,0,0,0,0,0,0,0,36,16,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\conditions\MatchAttributeWithValue.java,com.codeborne.selenide.conditions.MatchAttributeWithValue,class,8,10,2,8,5,2,0,7,0,0.125,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,3,20,3,0,1,0,0,4,0,4,0,4,0,0,0,0,21,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\selector\ByTextTest.java,com.codeborne.selenide.selector.ByTextTest,class,4,4,0,4,2,1,0,5,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,2,1,2,0,0,0,0,16,0,0
C:\Users\rochi\Downloads\sneel\selenide\statics\src\test\java\integration\customcommands\MySelenideElement.java,integration.customcommands.MySelenideElement,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\impl\TailOfCollection.java,com.codeborne.selenide.impl.TailOfCollection,class,8,10,2,8,9,1,0,8,0,0.48148146,0.0,0.0,9,0,8,1,0,0,8,0,0,0,3,0,0,3,0,0,2,0,1,38,7,0,0,0,0,2,0,9,4,8,0,0,0,0,27,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\collections\ExactTextsTest.java,com.codeborne.selenide.collections.ExactTextsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,1,0,0,0,0,10,16,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\conditions\webdriver\Title.java,com.codeborne.selenide.conditions.webdriver.Title,class,7,7,0,7,6,1,0,3,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,0,0,0,3,0,2,2,2,0,0,0,0,17,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\logevents\LogEvent.java,com.codeborne.selenide.logevents.LogEvent,interface,1,10,9,1,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\conditions\datetime\DateBetweenTest.java,com.codeborne.selenide.conditions.datetime.DateBetweenTest,class,6,6,0,6,6,1,0,17,0,0.5555555,0.0,0.0,6,0,0,0,0,6,6,0,0,0,6,0,0,6,0,0,6,0,9,44,0,0,0,0,0,9,27,12,0,12,0,0,0,2,64,16,0
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\collections\ContainExactTextsCaseSensitiveTest.java,com.codeborne.selenide.collections.ContainExactTextsCaseSensitiveTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,1,0,0,0,0,15,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\impl\ElementCommunicator.java,com.codeborne.selenide.impl.ElementCommunicator,interface,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\commands\GetSelectedOptionValue.java,com.codeborne.selenide.commands.GetSelectedOptionValue,class,7,8,1,7,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Users\rochi\Downloads\sneel\selenide\src\main\java\com\codeborne\selenide\ex\ObjectConditionError.java,com.codeborne.selenide.ex.ObjectConditionError,class,5,7,2,5,1,3,2,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
