file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,manage/0,false,72,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,switchTo/0,false,62,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,getWindowHandles/0,false,52,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,findElements/1[com.codeborne.selenide.By],false,31,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,quit/0,false,49,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,get/1[java.lang.String],false,18,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,navigate/0,false,67,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,"executeScript/2[java.lang.String,java.lang.Object[]]",false,77,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,getWindowHandle/0,false,57,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,"executeAsyncScript/2[java.lang.String,java.lang.Object[]]",false,82,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,close/0,false,46,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,getCurrentUrl/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,findElement/1[com.codeborne.selenide.By],false,36,3,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,getTitle/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\DummyWebDriver.java,com.codeborne.selenide.DummyWebDriver,getPageSource/0,false,41,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeAbove300/0,false,99,3,4,0,4,1,6,6,0,0,0,6,1,1,0,0,0,0,2,1,0,0,0,0,0,0,18,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockHeaders/1[com.codeborne.selenide.proxy.HttpMessage],false,144,3,3,3,0,1,3,5,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,responseFilter_doesNothingIfNotActivated/0,false,71,2,2,0,2,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_doesNothingIfNotActivated/0,false,51,2,2,0,2,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,setUp/0,false,39,2,0,0,0,1,8,9,0,2,0,8,0,0,0,0,0,0,5,0,2,0,0,0,0,0,16,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,"mockStatusCode/2[int,java.lang.String]",false,90,1,4,4,0,1,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,mockUrl/1[java.lang.String],false,94,0,1,1,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,interceptsHttpResponse/0,false,109,6,8,0,8,1,20,13,0,2,0,20,2,1,0,0,0,0,5,13,2,0,0,0,0,0,25,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,doesNotInterceptResponsesWithCodeBelow200/0,false,81,3,4,0,4,1,6,6,0,0,0,6,1,1,0,0,0,0,2,1,0,0,0,0,0,0,17,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,usesNameFromURL_ifResponseHasNoContentDispositionHeader/0,false,126,5,9,0,9,1,20,14,0,2,0,20,3,1,0,0,0,0,7,2,2,0,0,0,0,0,42,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\src\test\java\com\codeborne\selenide\proxy\FileDownloadFilterTest.java,com.codeborne.selenide.proxy.FileDownloadFilterTest,requestFilter_addsRequestHeader_toDisableContentEncoding/0,false,61,3,3,0,3,1,8,7,0,0,0,8,1,1,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\modules\testng\src\test\java\com\codeborne\selenide\testng\SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,tearDown/0,false,33,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\modules\testng\src\test\java\com\codeborne\selenide\testng\SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,marksTestAsFailed_withAssertionError_containingAllErrors/0,false,92,6,2,0,2,1,14,12,0,3,0,14,1,1,0,0,0,0,3,0,3,0,0,0,0,0,35,0,0,false
C:\Users\rochi\Downloads\sneel\selenide\modules\testng\src\test\java\com\codeborne\selenide\testng\SoftAssertsTest.java,com.codeborne.selenide.testng.SoftAssertsTest,"mockTestResult/2[java.lang.Class<?>,java.lang.String]",false,67,4,4,4,0,1,11,14,1,4,2,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,2,0,false
