file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,class,10,13,3,10,23,2,0,14,0,0.86111116,0.0,0.0,9,1,8,1,0,0,9,0,0,0,16,16,0,1,0,15,1,0,9,102,4,1,1,0,7,20,8,28,1,21,2,0,1,0,101,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\test\java\org\slf4j\profiler\PackageTest.java,org.slf4j.profiler.PackageTest,class,5,5,0,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,class,3,8,5,3,19,1,0,7,18,0.6666667,0.0,0.0,9,4,9,0,0,0,9,0,0,0,3,0,0,0,0,3,3,0,4,62,12,0,8,0,0,1,8,8,2,8,1,0,0,0,81,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\test\java\org\slf4j\basicTests\NoBindingTest.java,org.slf4j.basicTests.NoBindingTest,class,9,10,1,9,3,1,0,8,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,4,16,0,0,0,0,0,5,1,3,3,3,0,0,0,0,20,1,1
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-jdk14\src\test\java\org\slf4j\jul\JDK14AdapterLoggerNameTest.java,org.slf4j.jul.JDK14AdapterLoggerNameTest$MockHandler,innerclass,0,0,0,0,3,2,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,10,0
C:\Users\rochi\Downloads\sneel\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,class,3,4,1,3,81,1,0,34,278,0.90517235,0.0,0.0,29,5,21,5,3,0,25,0,18,0,20,17,8,2,10,0,12,0,20,288,15,1,11,6,6,36,14,49,11,32,4,0,0,1,254,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLoggerFactory.java,org.slf4j.ext.XLoggerFactory,class,3,5,2,3,2,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0
C:\Users\rochi\Downloads\sneel\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,class,3,8,5,3,4,1,5,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\agent\AgentOptions.java,org.slf4j.agent.AgentOptions,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,77,1,0
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jMDCAdapter.java,org.slf4j.reload4j.Reload4jMDCAdapter,class,3,5,2,3,16,1,0,13,33,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,7,57,6,1,5,0,0,5,0,4,0,4,2,0,0,0,63,1,0
