file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,XLogger/1[org.slf4j.Logger],true,101,2,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,(initializer 1),false,62,1,10,0,10,1,1,11,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,24,8,0,false
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],false,140,5,5,0,5,3,5,7,1,1,1,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,27,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,catching/1[java.lang.Throwable],false,178,1,2,1,1,2,1,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,21,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"throwing/2[org.slf4j.ext.XLogger.Level,T]",false,166,3,1,0,1,2,1,6,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,24,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/0,false,129,2,4,2,2,3,2,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,throwing/1[T],false,153,2,1,0,1,2,1,6,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,22,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,buildMessagePattern/1[int],false,196,0,1,1,0,3,3,10,1,2,1,3,0,0,1,1,0,0,3,2,2,1,2,0,0,0,10,10,0,false
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"catching/2[org.slf4j.ext.XLogger.Level,java.lang.Throwable]",false,190,2,2,1,1,2,1,5,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,22,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,entry/1[java.lang.Object[]],false,113,5,7,1,6,4,6,13,0,2,1,6,1,1,0,0,0,1,0,0,4,0,2,0,0,0,32,1,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/2[java.lang.String,java.lang.Object[]]",true,25,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",false,92,2,7,3,4,5,2,16,4,2,3,2,1,1,0,4,0,0,0,1,2,0,1,0,0,0,29,9,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,trimmedCopy/1[java.lang.Object[]],false,70,0,1,1,0,4,1,11,1,2,1,1,0,0,0,2,0,0,1,5,2,1,1,0,0,0,35,9,0,true
C:\Users\rochi\Downloads\sneel\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,getMessage/0,false,29,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
