file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,setUp/0,false,61,3,2,0,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,testname/0,false,68,3,0,0,0,1,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\repository\support\QuerydslRepositorySupportIntegrationTests.java,org.springframework.data.jpa.repository.support.QuerydslRepositorySupportIntegrationTests$CustomRepoUsingQueryDsl,CustomRepoUsingQueryDsl/0,true,141,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andCombinesSpecificationsInOrder/0,false,188,3,2,0,2,1,5,8,0,10,0,5,0,0,0,0,0,2,0,0,4,0,0,0,0,2,11,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,specificationsShouldBeSerializable/0,false,159,3,2,0,2,1,5,7,0,3,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,13,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,false,132,2,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,complexSpecificationsShouldBeSerializable/0,false,173,3,4,0,4,1,7,7,0,3,0,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,14,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,createsSpecificationsFromNull/0,false,68,2,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,false,95,2,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,false
C:\Users\rochi\Downloads\sneel\spring-data-jpa\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAllOfReturnsEmptySpecification/0,false,141,2,2,0,2,1,5,5,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
