file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\spring-integration-samples\applications\cafe\cafe-si\src\main\java\org\springframework\integration\samples\cafe\DrinkType.java,org.springframework.integration.samples.cafe.DrinkType,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\tcp-broadcast\src\main\java\org\springframework\integration\samples\tcpbroadcast\TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication,class,2,3,1,2,1,1,0,1,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,86,0,0,0,0,0,0,1,1,0,1,0,0,5,0,9,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\tcp-broadcast\src\main\java\org\springframework\integration\samples\tcpbroadcast\TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication$Broadcaster,innerclass,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,1,11,9,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\stored-procedures-ms\src\main\java\org\springframework\integration\service\StringConversionService.java,org.springframework.integration.service.StringConversionService,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\applications\cafe\cafe-si\src\main\java\org\springframework\integration\samples\cafe\annotation\CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,class,5,6,1,5,2,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,2,4,4,0,4,1,0,0,0,57,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\splitter-aggregator-reaper\src\test\java\org\springframework\integration\samples\splitteraggregator\TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,class,11,11,0,11,3,1,0,8,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,20,0,0,0,0,0,1,5,3,0,6,0,0,0,0,42,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\ws-outbound-gateway\src\main\java\org\springframework\integration\samples\ws\WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,class,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,5,1,5,0,0,0,0,56,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\xml\src\main\java\org\springframework\integration\samples\xml\BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,class,8,9,1,8,2,1,0,9,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,3,0,7,0,7,0,0,0,0,102,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\enricher\src\main\java\org\springframework\integration\samples\enricher\domain\User.java,org.springframework.integration.samples.enricher.domain.User,class,0,4,4,0,8,1,0,2,0,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,34,4,0,0,0,0,4,0,7,0,4,0,0,0,0,13,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\ftp\src\test\java\org\springframework\integration\samples\ftp\support\TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,class,10,11,1,10,16,2,0,15,1,0.46428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,2,0,4,0,0,4,0,1,54,9,0,0,0,1,6,3,5,0,5,2,0,0,0,62,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\basic\web-sockets\src\main\java\org\springframework\integration\samples\websocket\standard\client\Application.java,org.springframework.integration.samples.websocket.standard.client.Application,class,3,5,2,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,12,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\dsl\si4demo\src\main\java\org\springframework\integration\samples\si4demo\annotations\Application.java,org.springframework.integration.samples.si4demo.annotations.Application,class,23,25,2,23,11,1,0,15,53,0.8181818,0.0,0.0,11,1,9,0,0,2,11,0,0,0,1,0,0,1,0,0,0,0,0,50,10,0,0,0,0,9,1,5,0,6,0,0,0,0,72,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\dsl\cafe-dsl\src\test\java\org\springframework\integration\samples\dsl\cafe\ApplicationTests.java,org.springframework.integration.samples.dsl.cafe.ApplicationTests,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\file-processing\src\main\java\org\springframework\integration\samples\fileprocessing\FileProcessor.java,org.springframework.integration.samples.fileprocessing.FileProcessor,class,2,3,1,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,9,1,0,0,0,0,1,2,2,2,2,0,0,0,0,10,1,1
C:\Users\rochi\Downloads\sneel\spring-integration-samples\dsl\si4demo\src\test\java\org\springframework\integration\samples\si4demo\ApplicationTests.java,org.springframework.integration.samples.si4demo.ApplicationTests,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\monitoring\src\main\java\org\springintegration\NotificationListener.java,org.springintegration.NotificationListener$Gateway,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\multipart-http\src\main\java\org\springframework\integration\samples\multipart\MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,class,4,5,1,4,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,18,0,2,0,0,1,8,1,3,3,3,3,0,0,0,23,1,3
C:\Users\rochi\Downloads\sneel\spring-integration-samples\intermediate\tcp-async-bi-directional\src\main\java\org\springframework\integration\samples\tcpasyncbi\TcpAsyncBiDirectionalApplication.java,org.springframework.integration.samples.tcpasyncbi.TcpAsyncBiDirectionalApplication,class,4,5,1,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
