file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\test\java\org\springframework\kafka\retrytopic\RetryTopicConfigurationIntegrationTests.java,org.springframework.kafka.retrytopic.RetryTopicConfigurationIntegrationTests$Config,innerclass,21,21,0,21,11,2,0,14,55,0.90909094,0.0,0.0,11,0,0,0,1,10,11,0,0,0,1,0,0,1,0,0,1,0,3,39,9,0,0,0,0,7,4,2,1,5,0,0,0,2,57,8,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka-test\src\test\java\org\springframework\kafka\test\context\EmbeddedKafkaContextCustomizerTests.java,org.springframework.kafka.test.context.EmbeddedKafkaContextCustomizerTests$TestWithEmbeddedKafka,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\main\java\org\springframework\kafka\listener\DefaultBackOffHandler.java,org.springframework.kafka.listener.DefaultBackOffHandler,class,4,6,2,4,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,1,1,0,0,0,0,0,0,2,0,0,0,28,1,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka-docs\src\main\java\org\springframework\kafka\jdocs\requestreply\Application.java,org.springframework.kafka.jdocs.requestreply.Application$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\main\java\org\springframework\kafka\core\DefaultKafkaProducerFactory.java,org.springframework.kafka.core.DefaultKafkaProducerFactory,class,23,40,17,23,128,2,0,102,1667,0.9291045,0.0,0.0,67,0,48,9,9,1,58,0,2,0,24,1,0,24,0,0,10,0,9,643,50,6,32,9,4,24,2,71,8,61,3,0,1,26,399,1,5
C:\Users\rochi\Downloads\sneel\spring-kafka\samples\sample-01\src\main\java\com\example\Application.java,com.example.Application,class,19,20,1,19,9,1,0,9,26,0.75,0.0,0.0,8,1,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,37,5,0,0,0,0,14,6,2,2,3,1,0,0,3,54,1,2
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\test\java\org\springframework\kafka\retrytopic\RetryTopicConfigurationIntegrationTests.java,org.springframework.kafka.retrytopic.RetryTopicConfigurationIntegrationTests,class,16,16,0,16,1,3,0,13,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,56,0,0,0,0,0,11,2,3,0,3,0,0,2,0,32,0,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka-docs\src\main\java\org\springframework\kafka\jdocs\requestreply\Application.java,org.springframework.kafka.jdocs.requestreply.Application$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\test\java\org\springframework\kafka\listener\ConcurrentMessageListenerContainerMockTests.java,org.springframework.kafka.listener.ConcurrentMessageListenerContainerMockTests$Anonymous6,anonymous,3,3,0,3,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,1,0,0,0,1,0,0,0,9,-1,0
C:\Users\rochi\Downloads\sneel\spring-kafka\spring-kafka\src\test\java\org\springframework\kafka\listener\ConsumerSeekAwareTests.java,org.springframework.kafka.listener.ConsumerSeekAwareTests,class,5,5,0,5,4,2,0,29,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,78,4,0,0,0,0,8,14,12,0,12,2,0,1,4,45,1,0
